Date;High
30/01/2021;34933
29/01/2021;38531.9
28/01/2021;33783.98
27/01/2021;32557.29
26/01/2021;32921.88
25/01/2021;34875
24/01/2021;33071
23/01/2021;33456
22/01/2021;33826.53
21/01/2021;35600
20/01/2021;36415.31
19/01/2021;37850
18/01/2021;37469.83
17/01/2021;36852.5
16/01/2021;37950
15/01/2021;39747.76
14/01/2021;40100
13/01/2021;37850
12/01/2021;36628
11/01/2021;38264.74
10/01/2021;41350
09/01/2021;41380
08/01/2021;41950
07/01/2021;40365
06/01/2021;36939.21
05/01/2021;34360
04/01/2021;33600
03/01/2021;34778.11
02/01/2021;33300
01/01/2021;29600
31/12/2020;29300
30/12/2020;28996
29/12/2020;27410
28/12/2020;27500
27/12/2020;28422
26/12/2020;26867.03
25/12/2020;24789.86
24/12/2020;23794.43
23/12/2020;24100
22/12/2020;23837.1
21/12/2020;24102.77
20/12/2020;24295
19/12/2020;24171.47
18/12/2020;23285.18
17/12/2020;23800
16/12/2020;21560
15/12/2020;19570
14/12/2020;19349
13/12/2020;19411
12/12/2020;18948.66
11/12/2020;18292.73
10/12/2020;18557.32
09/12/2020;18639.57
08/12/2020;19294.84
07/12/2020;19420.91
06/12/2020;19420
05/12/2020;19177
04/12/2020;19527
03/12/2020;19598
02/12/2020;19342
01/12/2020;19888
30/11/2020;19863.16
29/11/2020;18360.05
28/11/2020;17880.49
27/11/2020;17457.62
26/11/2020;18915.03
25/11/2020;19484.21
24/11/2020;19418.97
23/11/2020;18766
22/11/2020;18750
21/11/2020;18965.9
20/11/2020;18815.22
19/11/2020;18179.8
18/11/2020;18476.93
17/11/2020;17858.82
16/11/2020;16880
15/11/2020;16180
14/11/2020;16326.99
13/11/2020;16480
12/11/2020;16340.7
11/11/2020;15965
10/11/2020;15460
09/11/2020;15840
08/11/2020;15650
07/11/2020;15753.52
06/11/2020;15960
05/11/2020;15750
04/11/2020;14259
03/11/2020;14066.11
02/11/2020;13830
01/11/2020;13895
31/10/2020;14100
30/10/2020;13669.98
29/10/2020;13642.91
28/10/2020;13859.48
27/10/2020;13789.29
26/10/2020;13238.81
25/10/2020;13350
24/10/2020;13166.73
23/10/2020;13027.69
22/10/2020;13185
21/10/2020;13217.68
20/10/2020;12038.38
19/10/2020;11823.99
18/10/2020;11505
17/10/2020;11402.42
16/10/2020;11541.15
15/10/2020;11617.34
14/10/2020;11547.98
13/10/2020;11557
12/10/2020;11720.01
11/10/2020;11445
10/10/2020;11491
09/10/2020;11104.64
08/10/2020;10950
07/10/2020;10681.87
06/10/2020;10800
05/10/2020;10798
04/10/2020;10696.87
03/10/2020;10603.56
02/10/2020;10664.64
01/10/2020;10920
30/09/2020;10849.34
29/09/2020;10867.54
28/09/2020;10950
27/09/2020;10799
26/09/2020;10820.94
25/09/2020;10760.53
24/09/2020;10795.24
23/09/2020;10537.15
22/09/2020;10572.71
21/09/2020;10988.86
20/09/2020;11080.64
19/09/2020;11179.79
18/09/2020;11038.03
17/09/2020;11045.46
16/09/2020;11093
15/09/2020;10930.04
14/09/2020;10750
13/09/2020;10580.11
12/09/2020;10477.97
11/09/2020;10397.6
10/09/2020;10483.35
09/09/2020;10343
08/09/2020;10438
07/09/2020;10410.75
06/09/2020;10347.14
05/09/2020;10565.68
04/09/2020;10627.05
03/09/2020;11462.6
02/09/2020;11954.57
01/09/2020;12050.85
31/08/2020;11800.77
30/08/2020;11719
29/08/2020;11580.02
28/08/2020;11542.65
27/08/2020;11592.2
26/08/2020;11539.32
25/08/2020;11767.85
24/08/2020;11824.9
23/08/2020;11718.07
22/08/2020;11686
21/08/2020;11878
20/08/2020;11888
19/08/2020;12020.08
18/08/2020;12387.77
17/08/2020;12468
16/08/2020;11931.72
15/08/2020;11980
14/08/2020;11850
13/08/2020;11792.96
12/08/2020;11617.52
11/08/2020;11935
10/08/2020;12067.35
09/08/2020;11797.11
08/08/2020;11808.27
07/08/2020;11909.94
06/08/2020;11900
05/08/2020;11780.93
04/08/2020;11414.98
03/08/2020;11473
02/08/2020;12123.46
01/08/2020;11861
31/07/2020;11444
30/07/2020;11170
29/07/2020;11342.82
28/07/2020;11242.23
27/07/2020;11394.86
26/07/2020;10111
25/07/2020;9732.9
24/07/2020;9637
23/07/2020;9664
22/07/2020;9544
21/07/2020;9437.73
20/07/2020;9221.52
19/07/2020;9232.27
18/07/2020;9219.3
17/07/2020;9186.83
16/07/2020;9226.15
15/07/2020;9276.49
14/07/2020;9279.54
13/07/2020;9343.82
12/07/2020;9345
11/07/2020;9299.28
10/07/2020;9317.48
09/07/2020;9440.79
08/07/2020;9470
07/07/2020;9379.42
06/07/2020;9375
05/07/2020;9145.24
04/07/2020;9190
03/07/2020;9125
02/07/2020;9261.96
01/07/2020;9292
30/06/2020;9205
29/06/2020;9238
28/06/2020;9191
27/06/2020;9196.24
26/06/2020;9298
25/06/2020;9340
24/06/2020;9670
23/06/2020;9720
22/06/2020;9780
21/06/2020;9422
20/06/2020;9395
19/06/2020;9438.3
18/06/2020;9489
17/06/2020;9565
16/06/2020;9589
15/06/2020;9495
14/06/2020;9480.99
13/06/2020;9494.73
12/06/2020;9557.12
11/06/2020;9964
10/06/2020;9992.72
09/06/2020;9877
08/06/2020;9800
07/06/2020;9802
06/06/2020;9735
05/06/2020;9854.75
04/06/2020;9881.63
03/06/2020;9690
02/06/2020;10228.99
01/06/2020;10380
31/05/2020;9700
30/05/2020;9740
29/05/2020;9605.26
28/05/2020;9625.47
27/05/2020;9225
